測站名稱,測站位置,空品區,運作日期開始,測站類別(主),測站類別(輔),縣市,鄉鎮區,地址,經緯度,東經,CO,NO2,O3,PM10,PM2.5,SO2,NHMC,AMB_TEMP,RAINFALL,RH,WD_HR,WS_HR,WIND_DIREC,WIND_SPEED,RAIN_COND,PH_RAIN,UVB,其它監測項目,細懸浮微粒手動監測,測站高度(m),採樣口高度(m),採樣口氣流角度(°),國道、省道,距離(km),一般道路,距離(m),所在鄉鎮市區人口數量(人),所在鄉鎮市區人口密度(人/平方公里),P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,SOX_fac,SOX_emi,position,distance,NOX_fac,NOX_emi,position,distance,THC_fac,THC_emi,position,distance,TSP_fac,TSP_emi,position,distance
龍潭,龍潭鄉公所,北部空品區,1991/7/19,一般站,-,桃園市,龍潭區,桃園市龍潭區中正路210號,北緯：24度51分49.9秒 東經：121度12分58.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,16,20.5,360,,,,,"124,457","1,654",548.6,1063.9,6819.1,419.4,3.8,4515.1,2501.1,4515.1,53.9,114.6,505.3,5831.2,90.5,18.7,69.4,3.9,0.6,79.3,25.5,41.9,8.9,2,5.1,54.2,,,,,,,,,,,,,,,,
湖口,信勢國小,竹苗空品區,1991/7/19,一般站,-,新竹縣,湖口鄉,新竹縣湖口鄉成功路360號,北緯：24度54分0.5秒 東經：121度2分19.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,10,14.5,360,,,,,"80,400","1,376",924.9,1617.7,9945.9,267.1,3,3444.5,2447.7,3444.5,46.4,103.8,1226.7,3482.5,94.9,31.3,73,3.7,0.3,66.7,18,47.9,4.8,2,9,48.4,,,,,,,,,,,,,,,,
竹東,大同國小,竹苗空品區,1991/7/19,一般站,-,新竹縣,竹東鎮,新竹縣竹東鎮榮樂里三民街70號,北緯：24度44分26.3秒 東經：121度5分20.1秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",有進行手動監測,10,14.5,360,,,,,"96,212","1,798",278,561.5,1876.8,259.8,2.6,2962.4,2022.8,2962.4,28.7,61.6,529.9,1940.4,89.9,15.7,42.4,5,0.8,82.6,45.7,57.4,9.3,1.7,11.9,37.6,,,,,,,,,,,,,,,,
新竹,東門國小,竹苗空品區,1991/7/19,一般站,-,新竹市,東區,新竹市民族路33號,北緯：24度48分20.2秒 東經：120度58分19.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,11,15.5,360,,,,,"220,711","6,573",969,2099.9,7357.3,338.8,4.4,5178.4,3637.5,5178.4,56.7,129.4,3014.1,3353.5,94.1,28.3,52.5,3.8,0.4,69.9,26,58.4,5.5,1.8,21.5,37.8,,,,,,,,,,,,,,,,
頭份,后庄國小,竹苗空品區,1991/7/19,工業站,-,苗栗縣,頭份市,苗栗縣頭份市文化街20號,北緯：24度41分49.1秒 東經：120度53分54.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,10,14.5,360,,,,,"104,964","1,969",545.3,1034.8,2156.7,392.1,2.8,4934,1949.4,4934,19.6,53.7,1094.4,2806.9,96.1,17.2,41.5,4.8,0.5,81.9,37.5,60.7,3.4,0.9,21,34.5,,,,,,,,,,,,,,,,
苗栗,苗栗縣青年創業指揮部,竹苗空品區,1991/7/19,一般站,-,苗栗縣,苗栗市,苗栗市縣府路102號,北緯：24度33分55秒 東經：120度49分12.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,,"NO,NOx",有進行手動監測,10,14.5,360,,,,,"86,001","2,270",952.4,1246.6,998.9,549.1,2.2,4441.1,1452.6,4441.1,14.5,38.5,663.7,2649.1,98.3,21.8,32.1,7.2,0.2,77.6,46.6,58.1,1.5,0.6,21.3,34.7,,,,,,,,,,,,,,,,
三義,長壽俱樂部,竹苗空品區,1991/7/19,一般站,背景站,苗栗縣,三義鄉,苗栗縣三義鄉西湖村上湖61-1號,北緯：24度22分58.6秒 東經：120度45分31.8秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx",有進行手動監測,7,11.5,360,,,,,"15,250",220,343.7,737.3,1435.4,356.4,2,3683.4,1434.1,3683.4,15.4,36.6,516.2,1620.4,95.2,16.5,42.4,6.3,0.6,82.6,42.4,65.1,4.2,0.9,15.2,28.6,,,,,,,,,,,,,,,,
豐原,國立豐原高中,中部空品區,1991/7/19,一般站,-,臺中市,豐原區,臺中市豐原區水源路150號,北緯：24度15分23.7秒 東經：120度44分30.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,12,16.5,360,,,,,"163,166","3,962",455.1,1098.9,1380.8,440.6,4.3,5164.7,3776.8,5164.7,80,185.1,932.9,5129,84.4,17,22.7,4.1,0.8,80.1,62,48.1,14.8,2.9,15.3,47.8,,,,,,,,,,,,,,,,
沙鹿,北勢國中,中部空品區,1991/7/19,一般站,-,臺中市,沙鹿區,臺中市沙鹿區英才路150號,北緯：24度13分32.3秒 東經：120度34分7.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,,"NO,NOx",無進行手動監測,15,19.5,360,,,,,"96,436","2,384",10782.1,14200.2,4586.2,2374.1,6.2,8010.4,5586.8,8010.4,75.8,173.7,2074.9,7253.9,99.2,63.4,37.4,13.5,0.1,35.8,45.6,45.4,0.7,0.8,17,41.1,,,,,,,,,,,,,,,,
大里,大里圖書館,中部空品區,1991/7/19,一般站,-,臺中市,大里區,臺中市大里區大新街36號,北緯：24度5分58.6秒 東經：120度40分42.4秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,12,16.5,360,,,,,"211,273","7,317",156.4,815.6,3464.1,317.5,6.7,7560.4,6422.6,7560.4,125.8,295.7,2130.5,9253.9,54.1,9.4,28.8,1.9,2.3,87.2,53.4,44.1,43.6,3.4,17.8,54,,,,,,,,,,,,,,,,
