測站名稱,測站位置,空品區,運作日期開始,測站類別(主),測站類別(輔),縣市,鄉鎮區,地址,經緯度,東經,CO,NO2,O3,PM10,PM2.5,SO2,NHMC,AMB_TEMP,RAINFALL,RH,WD_HR,WS_HR,WIND_DIREC,WIND_SPEED,RAIN_COND,PH_RAIN,UVB,其它監測項目,細懸浮微粒手動監測,測站高度(m),採樣口高度(m),採樣口氣流角度(°),國道、省道,距離(km),一般道路,距離(m),所在鄉鎮市區人口數量(人),所在鄉鎮市區人口密度(人/平方公里),P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,SOX_fac,SOX_emi,position,distance,NOX_fac,NOX_emi,position,distance,THC_fac,THC_emi,position,distance,TSP_fac,TSP_emi,position,distance
三重,三重交流道旁,北部空品區,1995/10/1,交通站,-,新北市,三重區,新北市三重區三和路重陽路交口,北緯：25度4分21.4秒 東經：121度29分37.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,-,-,-,-,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,0,3.5,360,,,,,"378,723","23,210",379.1,1129.6,2320.9,215.9,13.2,11081.3,13386.1,11081.3,383.2,810.5,2305.6,16903.1,48.9,8.7,12.9,0.8,1.7,85.1,74.3,39.3,49.4,6.2,12.8,59.9,,,,,,,,,,,,,,,,
中壢,中壢國小,北部空品區,1995/10/1,交通站,-,桃園市,中壢區,桃園市中壢區延平路622號,北緯：24度57分11.8秒 東經：121度13分18秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,0,3.5,360,,,,,"420,793","5,499",1093.8,2190.8,8057.5,545.6,7.2,8488.9,4964.8,8488.9,132.4,282.7,682.4,13559.6,88.7,20,58.8,2.4,0.6,77.4,36.2,37.6,10.7,2.6,5,60,,,,,,,,,,,,,,,,
竹山,雲林國小,中部空品區,1995/12/1,一般站,-,南投縣,竹山鎮,南投縣竹山鎮大明路666號,北緯：23度45分23秒 東經：120度40分38.3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,7,11.5,360,,,,,"52,062",211,233.6,432.2,1143.1,192,1,1720.8,875.8,1720.8,13,30.7,246.2,1386.8,94.4,19.8,50.5,5.8,0.4,78.8,38.7,52.2,5.2,1.4,10.8,42,,,,,,,,,,,,,,,,
永和,永和中正花園,北部空品區,1996/7/1,交通站,-,新北市,永和區,新北市永和區永和路光復路交口,北緯：25度1分1.2秒 東經：121度30分58.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,0,3.5,360,,,,,"210,836","36,899",294.9,874,2613.2,186.1,13,10961.2,12992.6,10961.2,378.6,798.9,2317,15912.5,43,6.9,14.6,0.7,1.9,86.8,72.5,40.5,55.1,6.3,12.9,58.8,,,,,,,,,,,,,,,,
復興,復興國小,高屏空品區,1996/7/1,交通站,-,高雄市,前鎮區,高雄市前鎮區民權二路331號,北緯：22度36分31.4秒 東經：120度18分43.3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,0,3.5,300,,,,,"180,437","9,437",8523.1,12445.1,5636.5,3115.2,5.5,7777.9,7937.2,7777.9,148.4,319.6,2144,7514,98.2,60.6,35.9,16.9,0.1,37.9,50.5,42.3,1.7,1.5,13.6,40.8,,,,,,,,,,,,,,,,
埔里,埔里國中,中部空品區,1998/5/12,其它站,-,南投縣,埔里鎮,南投縣埔里鎮西安路一段193號,北緯：23度58分7.8秒 東經：120度58分4.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,15,19.5,360,,,,,"77,448",477,21.9,20,21.5,20.4,0.5,758.2,550.9,758.2,9.1,23.2,248.1,1021.9,69.4,2.5,2.6,1.1,1.7,94.6,67.1,42.1,28.9,2.9,30.3,56.8,,,,,,,,,,,,,,,,
馬祖,介壽水資源回收中心,其他,1999/5/15,一般站,-,連江縣,南竿鄉,連江縣南竿鄉介壽村156-10號,北緯：26度15分28.8秒 東經：120度35分28.6秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",有進行手動監測,12,16.5,360,,,,,"7,775",748,31.4,842.8,0.1,12.2,0.04,116,24.3,116,0.7,1.1,33.4,455.5,97.6,87.8,0.1,2.1,0.1,12.1,42.1,19.9,2.3,0.1,57.8,78,,,,,,,,,,,,,,,,
金門,金門金城國中,其他,2002/2/27,一般站,-,金門縣,金城鎮,金門縣金城鎮民權路32號,北緯：24度25分55.7秒 東經：118度18分44.1秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",有進行手動監測,10,14.5,360,,,,,"42,301","1,948",235.6,3596.9,510.3,74.3,0.2,419.4,189.2,419.4,7.7,12.3,232.3,886.8,96.7,89.3,54.8,5.4,0.1,10.4,20.3,30.4,3.2,0.3,24.9,64.2,,,,,,,,,,,,,,,,
馬公,澎湖縣衛生局,其他,2003/11/26,一般站,-,澎湖縣,馬公市,澎湖縣馬公市中正路115號,北緯：23度34分8.5秒 東經：119度33分58.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",有進行手動監測,11,15,360,,,,,"62,996","1,853",3.8,42.2,30.3,15.7,0.3,583.7,304.5,583.7,6.8,12.5,544.2,1029.9,34.5,6.6,3.4,1,2.8,91.4,34.6,35.8,62.7,2,62,63.2,,,,,,,,,,,,,,,,
關山,關山鎮圖書館,花東空品區,2005/8/10,其它站,-,臺東縣,關山鎮,臺東縣關山鎮自強路66號,北緯：23度2分42.3秒 東經：121度9分43秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,11,15.5,360,,,,,"8,218",140,1.4,1.1,1.8,43.3,0.1,209.2,143.7,209.2,1.5,2.9,173.2,503.8,45.1,0.5,0.6,5.7,4.1,98.1,45.1,27.7,50.8,1.4,54.3,66.6,,,,,,,,,,,,,,,,
麥寮,雲林縣麥寮鄉保安食堂,雲嘉南空品區,2011/5/30,工業站,-,雲林縣,麥寮鄉,雲林縣麥寮鄉中興路115號,北緯：23度45分12.6秒 東經：120度15分6.6秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,8,12.5,360,,,,,"48,825",609,5122.2,13010.8,3084.1,1078.5,0.7,1124,720.6,1124,9.7,19.5,731.4,2454,99.8,91.9,68,23.2,0,7.9,15.9,24.1,0.2,0.2,16.1,52.7,,,,,,,,,,,,,,,,
富貴角,富貴角研站,北部空品區,2017/3/1,背景站,背景站,新北市,石門區,,北緯：25度17分48.5秒 東經：121度32分11.6秒,,TELEDYNE-API_T300U,TELEDYNE-API_T200U,TELEDYNE-API_T400,METONE_BAM1020,METONE_BAM1020,TELEDYNE-API_T100U,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,3.2,4.5,360,,,,,"11,019",215,16,22.8,149.2,5,0.5,400.9,550.4,400.9,7.1,18.2,99.3,565.6,67.9,5.2,18.7,0.5,2.1,90.7,68.9,41.3,30,4.1,12.4,58.2,,,,,,,,,,,,,,,,
大城,頂庄安檢所,中部空品區,2021/3/12,其它站,-,彰化縣,大城鄉,彰化縣大城鄉西厝路98號,北緯：23度51分17.8秒 東經：120度16分10.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,0,0,0,,,,,"15,590",245,5323,13141.9,2861.2,1066.3,0.5,804.6,517.7,804.6,6.2,13.3,410.2,1995.1,99.9,94.1,75.5,27.6,0,5.8,13.7,20.8,0.1,0.1,10.8,51.6,,,,,,,,,,,,,,,,
